T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1770	0.439448	0.479017	0.417866	0.456035	0.450440	0.438849	0.453337	0.459932	0.426659	0.436151	
1780	0.441946	0.475420	0.422862	0.451239	0.456335	0.434952	0.452838	0.461331	0.433453	0.432054	
1790	0.438549	0.475120	0.418265	0.454237	0.458133	0.432554	0.453137	0.458133	0.426459	0.444045	
1800	0.443545	0.481415	0.416867	0.455935	0.449540	0.430655	0.450340	0.458933	0.427458	0.442846	
1810	0.439249	0.484313	0.421263	0.457034	0.457734	0.436151	0.455835	0.464628	0.422162	0.439149	
1820	0.438849	0.480216	0.417666	0.458533	0.453337	0.432954	0.452538	0.459233	0.424061	0.439249	
1830	0.438849	0.476619	0.421463	0.461831	0.456135	0.434952	0.452038	0.456835	0.427858	0.443645	
1840	0.440048	0.484313	0.420863	0.458433	0.456235	0.436051	0.454936	0.459732	0.428257	0.444444	
1850	0.445843	0.479217	0.416067	0.455236	0.457834	0.433153	0.446843	0.467426	0.433953	0.438549	
1860	0.440248	0.486711	0.415667	0.453737	0.460132	0.433353	0.445943	0.464329	0.427558	0.446643	
1870	0.440947	0.483613	0.417966	0.453837	0.451739	0.431455	0.452338	0.466027	0.428857	0.450140	
1880	0.442546	0.481715	0.421763	0.454337	0.456035	0.428357	0.451239	0.461631	0.425160	0.446942	
1890	0.441847	0.483014	0.421763	0.453737	0.455635	0.436351	0.449840	0.460232	0.429556	0.443245	
1900	0.437650	0.483413	0.419664	0.453837	0.457434	0.431055	0.457534	0.461131	0.431155	0.442046	
1910	0.438549	0.480915	0.419065	0.453137	0.457934	0.431255	0.451938	0.462930	0.434852	0.448341	
1920	0.440348	0.481715	0.418365	0.455536	0.458533	0.427458	0.457334	0.460332	0.428058	0.453637	
1930	0.441547	0.485512	0.423561	0.455536	0.456835	0.428257	0.455635	0.460532	0.423062	0.453837	
1940	0.439349	0.484213	0.417866	0.453437	0.457334	0.435452	0.453537	0.462730	0.428257	0.451339	
1950	0.441847	0.482614	0.418965	0.454736	0.456135	0.426759	0.456835	0.464229	0.425360	0.448841	
1960	0.445044	0.479117	0.418066	0.454836	0.453337	0.426159	0.451439	0.457434	0.426759	0.450340	
1970	0.448541	0.482414	0.422162	0.452138	0.453937	0.432954	0.455136	0.462230	0.432154	0.449341	
1980	0.436051	0.478317	0.410871	0.455136	0.454536	0.428257	0.452038	0.460931	0.427158	0.452938	
1990	0.434153	0.487810	0.422462	0.449540	0.454536	0.428058	0.457234	0.460931	0.428457	0.449440	
2000	0.446942	0.483813	0.420164	0.451439	0.458933	0.429756	0.454037	0.463529	0.433153	0.442346	
2010	0.447842	0.490208	0.421463	0.460032	0.455436	0.423361	0.454337	0.458333	0.428657	0.445643	
2020	0.439848	0.482614	0.421763	0.455236	0.450040	0.427558	0.454137	0.454836	0.433553	0.453737	
2030	0.439548	0.477918	0.420863	0.450639	0.449740	0.431954	0.458433	0.458833	0.431055	0.447342	
2040	0.447542	0.487710	0.426059	0.449540	0.455935	0.421263	0.453038	0.460532	0.426059	0.446043	
2050	0.440448	0.487610	0.415667	0.449840	0.456934	0.424660	0.454636	0.460432	0.429057	0.441946	
2060	0.438149	0.485811	0.419664	0.451739	0.461331	0.432154	0.456635	0.456135	0.425859	0.445843	
2070	0.446942	0.486611	0.422062	0.457534	0.457534	0.420164	0.457534	0.459532	0.431954	0.446743	
2080	0.445044	0.483813	0.424560	0.455236	0.456835	0.425160	0.453137	0.461531	0.432054	0.447842	
2090	0.444245	0.492306	0.420364	0.453537	0.458533	0.431755	0.454636	0.462130	0.429057	0.444345	
2100	0.444444	0.490907	0.420164	0.449940	0.456235	0.430556	0.449740	0.459432	0.432054	0.440647	
2110	0.435552	0.487610	0.419365	0.452438	0.459532	0.430755	0.454536	0.464229	0.434752	0.443745	
2120	0.445544	0.492306	0.418565	0.451239	0.456035	0.428757	0.453637	0.464329	0.429756	0.445344	
2130	0.439748	0.483613	0.416867	0.444245	0.459632	0.427858	0.452638	0.460232	0.427758	0.448341	
2140	0.440947	0.486511	0.422062	0.457434	0.452138	0.428757	0.459333	0.468825	0.423661	0.452738	
2150	0.446443	0.489508	0.421563	0.449940	0.458133	0.425560	0.453837	0.466727	0.427258	0.453737	
2160	0.453038	0.484412	0.420863	0.446343	0.457534	0.432854	0.457034	0.471922	0.437350	0.449540	
2170	0.448641	0.484213	0.420064	0.450939	0.454337	0.434852	0.454037	0.466827	0.427058	0.450639	
2180	0.441347	0.486611	0.422362	0.450839	0.457034	0.436950	0.451639	0.461431	0.431755	0.448441	
2190	0.447642	0.482114	0.419664	0.453737	0.454836	0.431855	0.458933	0.468325	0.428257	0.450739	
2200	0.444444	0.476319	0.420464	0.450839	0.450639	0.430855	0.457734	0.464229	0.420464	0.452638	
2210	0.446443	0.478018	0.424560	0.450639	0.455236	0.432454	0.458933	0.465128	0.423861	0.451639	
2220	0.439548	0.480116	0.422762	0.451239	0.452438	0.431555	0.451938	0.464129	0.430456	0.454636	
2230	0.441647	0.476119	0.425959	0.445344	0.459732	0.426259	0.453537	0.463529	0.424760	0.449141	
2240	0.433453	0.473122	0.420863	0.454436	0.454337	0.430256	0.458233	0.463329	0.427558	0.452438	
2250	0.433753	0.472422	0.430056	0.449540	0.455536	0.437350	0.454436	0.463729	0.426459	0.455236	
2260	0.443445	0.469624	0.415568	0.452638	0.458933	0.431555	0.453937	0.465627	0.426059	0.459033	
2270	0.441247	0.470923	0.416367	0.455036	0.451839	0.435552	0.455536	0.460831	0.422362	0.460931	
2280	0.441447	0.473122	0.424361	0.447342	0.460332	0.436051	0.450739	0.462930	0.431954	0.448341	
2290	0.446343	0.468026	0.429656	0.448541	0.458133	0.430056	0.455735	0.471423	0.429357	0.455935	
2300	0.454836	0.473022	0.423761	0.448841	0.458933	0.432554	0.455136	0.466627	0.426859	0.454836	
2310	0.447542	0.471723	0.427158	0.447642	0.458034	0.430556	0.453237	0.468026	0.425759	0.453537	
2320	0.446143	0.481315	0.426259	0.451839	0.457434	0.426359	0.457334	0.467426	0.429656	0.454736	
2330	0.447842	0.477718	0.424061	0.449740	0.457834	0.429856	0.446243	0.466527	0.429856	0.456635	
2340	0.442146	0.475520	0.420164	0.450140	0.458133	0.430056	0.452038	0.461631	0.427358	0.457034	
2350	0.451239	0.480715	0.423861	0.448941	0.464029	0.432754	0.458633	0.465927	0.426059	0.456335	
2360	0.439349	0.481715	0.422062	0.452138	0.458633	0.429456	0.454936	0.467026	0.430556	0.452738	
2370	0.444744	0.475819	0.426459	0.455436	0.452138	0.431655	0.455136	0.465228	0.427958	0.454436	
2380	0.447242	0.477718	0.424660	0.447942	0.463729	0.435052	0.459333	0.465727	0.439249	0.455036	
2390	0.445144	0.477418	0.422562	0.452438	0.458933	0.434353	0.458433	0.463129	0.428657	0.453038	
2400	0.446543	0.473321	0.424361	0.449840	0.460831	0.430655	0.453337	0.464129	0.425959	0.459333	
2410	0.445344	0.475220	0.423661	0.448841	0.460432	0.436451	0.451839	0.465228	0.427458	0.463229	
2420	0.446043	0.479416	0.421463	0.456735	0.454736	0.434852	0.449341	0.456835	0.429257	0.453937	
2430	0.446942	0.472522	0.426059	0.447742	0.463229	0.430955	0.452438	0.462430	0.427958	0.452038	
2440	0.446743	0.480915	0.424061	0.451938	0.457634	0.428657	0.458533	0.463129	0.433953	0.455236	
2450	0.450939	0.478817	0.420464	0.447342	0.457534	0.429257	0.454936	0.464928	0.426059	0.454536	
2460	0.447942	0.472622	0.426559	0.453237	0.458833	0.429656	0.455336	0.472122	0.428757	0.455536	
2470	0.453137	0.474321	0.422962	0.448941	0.454636	0.429556	0.458034	0.464628	0.430755	0.455136	
2480	0.451539	0.480715	0.423561	0.448641	0.460032	0.434752	0.453737	0.467826	0.427958	0.458833	
2490	0.447642	0.474321	0.415867	0.447242	0.462630	0.431355	0.454736	0.465328	0.429257	0.459532	
2500	0.445444	0.470923	0.427058	0.447842	0.462230	0.434952	0.450839	0.465627	0.425460	0.460332	
2510	0.450639	0.471823	0.418565	0.450639	0.463129	0.433453	0.457434	0.466427	0.431055	0.455036	
2520	0.449740	0.473621	0.420564	0.448841	0.456835	0.423561	0.457434	0.466827	0.428757	0.453237	
2530	0.447242	0.482514	0.423161	0.445943	0.460931	0.434652	0.459932	0.472022	0.429057	0.457834	
2540	0.452638	0.484113	0.420364	0.447442	0.462430	0.435651	0.456235	0.467626	0.427058	0.454237	
2550	0.450340	0.478217	0.422062	0.452338	0.460532	0.433453	0.457134	0.469325	0.429157	0.459532	
2560	0.454436	0.477518	0.422662	0.441447	0.455835	0.432654	0.451239	0.470124	0.431155	0.460032	
2570	0.449241	0.483413	0.418066	0.448841	0.456835	0.426559	0.449341	0.476719	0.434552	0.461231	
