T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
2450	0.094160	0.099191	0.127016	0.074305	0.128862	0.091868	0.095959	0.123748	0.130213	0.098897	
2460	0.092256	0.102730	0.129273	0.074082	0.124971	0.094183	0.097816	0.114414	0.129649	0.097263	
2470	0.091680	0.107796	0.127498	0.071120	0.127498	0.092326	0.095159	0.111887	0.129626	0.097922	
2480	0.092408	0.106879	0.129038	0.071460	0.124218	0.091386	0.097816	0.122196	0.129755	0.108066	
2490	0.090187	0.104740	0.129155	0.072754	0.138489	0.093772	0.105845	0.112240	0.130684	0.112910	
2500	0.091068	0.100414	0.128709	0.070802	0.130390	0.094289	0.112310	0.115472	0.130825	0.100367	
2510	0.089046	0.099403	0.127251	0.070015	0.133423	0.092773	0.117588	0.109371	0.131201	0.091456	
2520	0.089234	0.099685	0.127087	0.063773	0.161741	0.092256	0.117001	0.100602	0.131295	0.090163	
2530	0.091656	0.096288	0.127545	0.068310	0.165327	0.095100	0.119422	0.078772	0.128556	0.090304	
2540	0.089740	0.094136	0.129896	0.072401	0.158920	0.091198	0.119011	0.076586	0.130954	0.089481	
2550	0.090481	0.091503	0.127110	0.070403	0.157427	0.092726	0.112569	0.085908	0.132247	0.086836	
2560	0.092667	0.094748	0.128768	0.070685	0.160084	0.090821	0.105069	0.085367	0.128756	0.088588	
2570	0.088894	0.097346	0.129567	0.074246	0.174966	0.092303	0.099767	0.093302	0.130002	0.088423	
