T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
2190	0.099407	0.109292	0.127994	0.086207	0.164541	0.093909	0.098402	0.105024	0.128996	0.088697
2200	0.099406	0.114231	0.128195	0.08567	0.166632	0.093269	0.104028	0.113688	0.127667	0.087523
2210	0.103591	0.118729	0.128929	0.08559	0.169424	0.093616	0.107438	0.116799	0.127993	0.087222
2220	0.101889	0.122819	0.130587	0.086553	0.170142	0.092869	0.106022	0.120703	0.129471	0.087085
2230	0.102168	0.126743	0.130491	0.086069	0.162187	0.092423	0.105911	0.122632	0.128256	0.087326
2240	0.10071	0.124072	0.129979	0.086497	0.155226	0.093286	0.103592	0.115458	0.127553	0.088
2250	0.101759	0.127923	0.129512	0.086599	0.154799	0.094279	0.105054	0.120149	0.126439	0.087636
2260	0.102747	0.141327	0.129853	0.088834	0.152821	0.093022	0.102981	0.115633	0.128191	0.087638
2270	0.105758	0.128162	0.128004	0.08929	0.145043	0.093658	0.102509	0.115966	0.126433	0.087326
2280	0.104396	0.117901	0.12818	0.084377	0.141787	0.09294	0.103498	0.112308	0.128509	0.087421
2290	0.102581	0.121884	0.128107	0.082932	0.146278	0.092537	0.104474	0.110606	0.127906	0.088623
2300	0.105327	0.109103	0.126313	0.079904	0.14745	0.093816	0.103108	0.114303	0.125958	0.089294
2310	0.104137	0.100845	0.126092	0.077999	0.141788	0.094246	0.101789	0.116521	0.126798	0.088276
2320	0.10294	0.095565	0.127959	0.078884	0.140602	0.092459	0.101359	0.119908	0.128134	0.0901
2330	0.098133	0.091242	0.127647	0.074114	0.134601	0.090999	0.097033	0.112273	0.129791	0.091644
2340	0.097533	0.091287	0.128548	0.074605	0.137202	0.093391	0.095183	0.11123	0.128961	0.090858
2350	0.094774	0.08882	0.127133	0.073679	0.135737	0.094468	0.094531	0.122897	0.129802	0.090812
2360	0.091951	0.089576	0.127221	0.074909	0.135652	0.092183	0.091745	0.125773	0.13096	0.091868
2370	0.090852	0.08949	0.127237	0.076786	0.132176	0.092874	0.095735	0.12859	0.130394	0.094973
2380	0.090389	0.092558	0.127065	0.074965	0.132639	0.093081	0.094768	0.124746	0.130785	0.093341
2390	0.091268	0.093416	0.126956	0.07554	0.134303	0.093066	0.096611	0.129253	0.13093	0.094761
2400	0.088642	0.095258	0.126927	0.074384	0.131567	0.092635	0.095329	0.123287	0.130995	0.092701
2410	0.091068	0.096299	0.126855	0.078789	0.133292	0.092886	0.099044	0.118887	0.130835	0.093825
2420	0.091353	0.098392	0.127017	0.077644	0.137154	0.093114	0.096654	0.125736	0.130746	0.099805
2430	0.09602	0.099889	0.127086	0.077338	0.132498	0.093294	0.098633	0.123798	0.130668	0.100075
2440	0.094859	0.100483	0.127829	0.074775	0.127778	0.095111	0.098588	0.128441	0.130449	0.095881
2450	0.094386	0.099164	0.127303	0.075222	0.128355	0.092784	0.097462	0.121816	0.130661	0.097028
2460	0.092318	0.102394	0.127839	0.073512	0.127497	0.093119	0.098328	0.112677	0.129959	0.098404
2470	0.092742	0.106645	0.127917	0.070476	0.127817	0.093462	0.096362	0.113431	0.130671	0.099889
2480	0.090907	0.108188	0.128792	0.071575	0.128915	0.092188	0.100736	0.120537	0.130345	0.110336
2490	0.089302	0.10477	0.128713	0.070963	0.138074	0.093122	0.104995	0.110486	0.13062	0.110311
2500	0.091641	0.102353	0.128075	0.07149	0.124904	0.092886	0.113894	0.111377	0.130543	0.097951
2510	0.089769	0.101721	0.127563	0.068819	0.13586	0.092877	0.114525	0.108822	0.130553	0.091751
2520	0.089971	0.099361	0.128661	0.066667	0.16352	0.093279	0.118764	0.104031	0.131647	0.087845
2530	0.092142	0.096815	0.127793	0.06961	0.164794	0.093292	0.119379	0.08165	0.12958	0.088032
2540	0.091335	0.091635	0.127987	0.070832	0.160666	0.092064	0.114745	0.08303	0.131787	0.08806
2550	0.090393	0.092666	0.128295	0.070546	0.157916	0.092909	0.111896	0.08703	0.133047	0.088447
2560	0.09158	0.094692	0.127562	0.072041	0.159423	0.091254	0.102809	0.091326	0.130377	0.088439
2570	0.090619	0.095956	0.128796	0.07496	0.17526	0.091711	0.103932	0.097527	0.129812	0.089071
2580	0.092548	0.09268	0.129511	0.076814	0.163461	0.091901	0.106962	0.106136	0.129167	0.091427
2590	0.092296	0.094052	0.132199	0.078098	0.157562	0.091749	0.105013	0.109525	0.130633	0.089555
2600	0.093393	0.093524	0.129543	0.079258	0.154998	0.091628	0.100556	0.116618	0.131063	0.090713
2610	0.09557	0.092702	0.12687	0.079514	0.169375	0.090238	0.096177	0.12149	0.129583	0.088427
2620	0.096319	0.09581	0.126972	0.080446	0.183776	0.091579	0.096755	0.118051	0.131556	0.088063
