T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
2140	0.995200	0.993200	0.996533	0.994133	0.970800	0.985600	0.993933	0.976000	0.997333	0.987067	
2150	0.994067	0.990600	0.997000	0.994267	0.970200	0.986800	0.994933	0.976067	0.995600	0.986467	
2160	0.994133	0.991267	0.997000	0.995200	0.969200	0.987133	0.996467	0.972067	0.998000	0.987267	
2170	0.994400	0.993467	0.998200	0.994067	0.977000	0.988000	0.994733	0.975933	0.998733	0.989200	
2180	0.992733	0.992267	0.999533	0.994333	0.975733	0.987800	0.995200	0.970600	0.997667	0.987000	
2190	0.993933	0.991533	0.997933	0.994267	0.979133	0.988933	0.995400	0.975600	0.996200	0.988333	
2200	0.996400	0.991067	0.998000	0.991133	0.978800	0.989133	0.994400	0.977667	0.998067	0.989067	
2210	0.994267	0.990667	0.998400	0.991267	0.979000	0.992600	0.995333	0.975800	0.998200	0.989267	
2220	0.992800	0.989133	0.998667	0.991400	0.978000	0.991333	0.995933	0.974000	0.998667	0.987800	
2230	0.992067	0.989200	0.998933	0.993133	0.980667	0.991200	0.995733	0.975267	0.998733	0.988333	
2240	0.992667	0.990400	0.998000	0.992200	0.984400	0.991667	0.995733	0.975533	0.997667	0.985800	
2250	0.996267	0.991800	0.998800	0.991267	0.982200	0.988000	0.993667	0.978867	0.998067	0.987467	
2260	0.996800	0.990733	0.998400	0.991000	0.983467	0.987200	0.990267	0.977733	0.998667	0.981933	
2270	0.995867	0.989733	0.998067	0.990467	0.984467	0.990800	0.992400	0.976667	0.998267	0.983333	
2280	0.995133	0.990000	0.999133	0.991333	0.981933	0.992667	0.990267	0.976867	0.998800	0.987000	
2290	0.994933	0.991267	0.998867	0.989867	0.983533	0.990800	0.986600	0.981067	0.999067	0.987267	
2300	0.995933	0.994467	0.998933	0.988933	0.985600	0.992533	0.984467	0.981867	0.999600	0.987533	
2310	0.996333	0.993467	0.999467	0.989400	0.985333	0.993800	0.984533	0.984667	0.998333	0.988600	
2320	0.996400	0.995467	0.999400	0.988600	0.986867	0.994133	0.988200	0.984867	0.999067	0.988800	
2330	0.996867	0.994400	0.999333	0.989000	0.987800	0.993533	0.991333	0.984400	0.998667	0.988867	
2340	0.995600	0.993267	0.998800	0.987733	0.989067	0.994733	0.989333	0.987267	0.998467	0.986733	
2350	0.996800	0.993133	0.999467	0.986600	0.986200	0.991733	0.990400	0.989067	0.998000	0.985533	
2360	0.994333	0.996933	0.999733	0.990867	0.988800	0.995067	0.993067	0.984000	0.996133	0.986400	
2370	0.996067	0.996467	0.999600	0.990933	0.988667	0.995067	0.995200	0.983867	0.995733	0.988400	
2380	0.995133	0.996400	0.999067	0.989467	0.988600	0.994933	0.996400	0.986933	0.994800	0.984400	
2390	0.996800	0.996667	0.998800	0.989133	0.987933	0.996533	0.997600	0.986133	0.993600	0.986000	
2400	0.995867	0.995867	0.998800	0.991800	0.991000	0.996000	0.997733	0.988933	0.994400	0.987667	
2410	0.996667	0.994667	0.998533	0.989800	0.991133	0.998067	0.999200	0.988333	0.993467	0.987067	
2420	0.995867	0.995067	0.998000	0.990733	0.989467	0.997867	0.998467	0.990067	0.996200	0.984600	
2430	0.996333	0.994267	0.997800	0.990533	0.992133	0.995733	0.998933	0.990667	0.993733	0.984933	
2440	0.996133	0.994000	0.998533	0.990933	0.991400	0.995000	0.998533	0.991000	0.995067	0.985533	
2450	0.997733	0.994400	0.998400	0.991000	0.989533	0.996867	0.997667	0.991333	0.992200	0.984000	
2460	0.997200	0.996333	0.997933	0.990200	0.990067	0.997800	0.997000	0.990533	0.993000	0.986600	
2470	0.996267	0.995467	0.995867	0.991000	0.989667	0.997133	0.996333	0.989933	0.996067	0.986733	
2480	0.997067	0.994933	0.996000	0.987933	0.990600	0.998733	0.998267	0.993000	0.996200	0.984667	
2490	0.996267	0.994667	0.995400	0.986933	0.990133	0.999400	0.998133	0.992867	0.996800	0.984800	
2500	0.995200	0.996533	0.995133	0.986667	0.990733	0.998933	0.998400	0.991667	0.997333	0.984267	
2510	0.995000	0.995267	0.995533	0.985533	0.989733	0.997600	0.998800	0.993200	0.997867	0.985733	
2520	0.995467	0.995667	0.995933	0.988867	0.988333	0.998000	0.998933	0.992400	0.998267	0.984933	
2530	0.995867	0.995067	0.994600	0.989933	0.986800	0.997733	0.996933	0.993133	0.998133	0.984133	
