essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.657895,10,0.140274,0.03229,0.008809,0.010743,0.231444,0.109818,0.140283,0.061427,0.042856,0.017658,0.023535,0.009068,0.014669,0.005153,0.042882,0.014663
0.684211,10,0.190938,0.037454,0.003151,0.010737,0.253152,0.108285,0.190939,0.069699,0.048622,0.016804,0.006478,0.00896,0.007219,0.005104,0.048657,0.013353
0.710526,10,0.152056,0.025201,0.072421,0.025483,0.286535,0.11334,0.152048,0.054219,0.155802,0.016821,0.063751,0.015028,0.018649,0.017732,0.155793,0.019145
0.736842,10,0.257856,0.032304,0.116824,0.033735,0.332752,0.099886,0.257876,0.065639,0.21138,0.021605,0.07285,0.014146,0.01639,0.024545,0.211408,0.023743
0.763158,10,0.447091,0.041269,0.209392,0.035434,0.350922,0.074642,0.447094,0.083533,0.122115,0.017206,0.049088,0.016627,0.009185,0.014211,0.122132,0.013875
0.789474,10,0.443032,0.051472,0.257621,0.048714,0.381608,0.073,0.443034,0.090767,0.062475,0.019312,0.058189,0.030142,0.015003,0.006797,0.062496,0.0114
0.815789,10,0.426975,0.053329,0.277817,0.036448,0.392475,0.072374,0.426981,0.092313,0.035786,0.02267,0.030546,0.023174,0.005643,0.003791,0.035839,0.013858
0.842105,10,0.423936,0.056566,0.301744,0.037534,0.404199,0.073063,0.423936,0.09374,0.093759,0.028793,0.037885,0.019259,0.012359,0.007997,0.093779,0.019392
0.868421,10,0.344716,0.051523,0.234447,0.046193,0.427852,0.08064,0.344693,0.087058,0.12742,0.025406,0.151533,0.022076,0.01256,0.012007,0.127448,0.01897
0.894737,10,0.398203,0.057177,0.41563,0.040592,0.452293,0.0727,0.398182,0.09333,0.079243,0.023244,0.038662,0.017062,0.005697,0.006719,0.079309,0.015215
0.921053,10,0.411448,0.068686,0.449135,0.031562,0.45685,0.070845,0.411473,0.102226,0.050383,0.033696,0.024748,0.013378,0.0037,0.004559,0.050424,0.024376
0.947368,10,0.431153,0.062053,0.43475,0.032891,0.457966,0.069713,0.43114,0.097277,0.067515,0.02496,0.031396,0.013698,0.004233,0.005744,0.067585,0.016088
0.973684,10,0.80058,0.070546,0.47624,0.022759,0.483436,0.039662,0.80058,0.088231,0.184108,0.053049,0.032971,0.00967,0.015323,0.019021,0.184128,0.052237
1,10,0.970313,0.041107,0.503642,0.024071,0.500784,0.01901,0.970311,0.046877,0.030244,0.033921,0.026411,0.008645,0.00336,0.007693,0.030253,0.034375
0.5,12,0.000721,0.006357,0.003426,0.011917,0.005166,0.026606,0.000721,0.006829,0.000792,0.005026,0.003644,0.007574,0.004224,0.011655,0.000797,0.005362
0.526316,12,0.001026,0.006943,0.011836,0.017307,0.014663,0.040373,0.001027,0.007652,0.001066,0.005209,0.011272,0.008777,0.011465,0.015003,0.001074,0.005557
0.552632,12,0.004706,0.007376,0.036268,0.020863,0.052917,0.069615,0.004707,0.010282,0.007199,0.005267,0.025388,0.009879,0.019995,0.011763,0.007202,0.006955
0.578947,12,0.003984,0.007266,0.094718,0.024451,0.11103,0.094384,0.003985,0.009741,0.006335,0.004873,0.029859,0.010616,0.018069,0.007226,0.006343,0.006475
0.605263,12,0.011419,0.00865,0.109831,0.023529,0.147803,0.103833,0.011422,0.013711,0.017765,0.005834,0.048971,0.010272,0.012526,0.005244,0.017771,0.009702
0.631579,12,0.045772,0.014087,0.084603,0.020667,0.198625,0.10779,0.045764,0.026784,0.042794,0.010731,0.081463,0.013357,0.015306,0.008343,0.042797,0.016074
0.657895,12,0.093962,0.023568,0.030062,0.015537,0.232861,0.104067,0.093965,0.043125,0.038519,0.014549,0.051028,0.01374,0.015761,0.007445,0.038539,0.01343
0.684211,12,0.12997,0.026624,0.015782,0.013008,0.250563,0.101705,0.12996,0.049313,0.050017,0.016158,0.028876,0.012288,0.009634,0.006572,0.050036,0.014372
0.710526,12,0.108694,0.01968,0.043601,0.020795,0.28059,0.106346,0.108691,0.04241,0.061337,0.012847,0.048107,0.013587,0.023585,0.007317,0.06135,0.013214
0.736842,12,0.184553,0.028553,0.100416,0.028975,0.334346,0.095015,0.18457,0.052377,0.163776,0.022824,0.06809,0.015919,0.013262,0.020218,0.1638,0.022743
0.763158,12,0.12259,0.022912,0.087016,0.032185,0.354742,0.100769,0.122598,0.046007,0.093035,0.016278,0.052998,0.015874,0.012069,0.012004,0.093045,0.013635
0.789474,12,0.161244,0.026981,0.105154,0.039342,0.382404,0.093092,0.161251,0.052494,0.097936,0.019295,0.08661,0.021285,0.013042,0.012569,0.097951,0.016561
0.815789,12,0.199713,0.044519,0.117849,0.039638,0.404495,0.085996,0.199692,0.067246,0.070401,0.023521,0.09839,0.024465,0.01145,0.008987,0.070424,0.017915
0.842105,12,0.220148,0.040143,0.173665,0.041049,0.417415,0.081768,0.22014,0.065905,0.056201,0.021283,0.090857,0.022882,0.009472,0.00664,0.056246,0.015359
0.868421,12,0.213348,0.034467,0.210246,0.056381,0.430552,0.081611,0.213351,0.061939,0.044074,0.017429,0.123614,0.030176,0.012751,0.005938,0.04412,0.01202
0.894737,12,0.24377,0.045082,0.37697,0.047911,0.449967,0.076589,0.243787,0.070383,0.050804,0.020831,0.058848,0.023678,0.007596,0.007047,0.050854,0.01528
0.921053,12,0.276197,0.044865,0.402514,0.034405,0.454521,0.072095,0.276188,0.07215,0.042217,0.018135,0.037449,0.014214,0.004115,0.004857,0.042248,0.01147
0.947368,12,0.252116,0.04833,0.433847,0.033446,0.457831,0.074948,0.252102,0.073599,0.043315,0.022989,0.036405,0.014168,0.004243,0.005052,0.043351,0.016457
0.973684,12,0.28034,0.055735,0.435389,0.03306,0.46054,0.073317,0.280339,0.079415,0.064418,0.02381,0.032885,0.015208,0.005719,0.006935,0.064453,0.017585
1,12,0.348861,0.062511,0.524037,0.04233,0.509517,0.070662,0.348841,0.087193,0.098866,0.035687,0.048855,0.017116,0.028636,0.008764,0.098905,0.02837
